Time,Distance(mm),angleServo1,angleServo2
16:31:39,221.0,24,0
16:31:39,200.0,20,0
16:31:39,304.0,40,0
16:31:39,424.0,64,0
16:31:39,691.0,118,0
16:31:39,1010.0,180,0
16:31:39,1010.0,180,120
16:31:39,1010.0,180,120
16:31:39,474.0,74,120
16:31:39,175.0,15,120
16:31:39,120.0,4,120
16:31:39,183.0,16,120
16:31:39,398.0,59,120
16:31:39,512.0,82,120
16:31:39,922.0,164,120
16:31:39,1008.0,180,120
16:31:39,1008.0,180,0
16:31:39,1008.0,180,0
16:31:39,503.0,80,0
16:31:39,483.0,76,0
16:31:39,271.0,34,0
16:31:39,331.0,46,0
16:31:39,385.0,57,0
16:31:39,421.0,64,0
16:31:39,427.0,65,0
16:31:39,441.0,68,0
16:31:39,451.0,70,0
16:31:39,450.0,70,0
16:31:39,449.0,69,0
16:31:39,449.0,69,0
16:31:39,450.0,70,0
16:31:39,445.0,69,0
16:31:39,451.0,70,0
16:31:39,382.0,56,0
16:31:39,326.0,45,0
16:31:39,273.0,34,0
16:31:39,202.0,20,0
16:31:39,117.0,3,0
16:31:40,108.0,1,0
16:31:40,465.0,73,0
16:31:40,673.0,114,0
16:31:40,1049.0,180,0
16:31:40,1049.0,180,120
16:31:40,1049.0,180,120
16:31:40,481.0,76,120
16:31:40,612.0,102,120
16:31:40,148.0,9,120
16:31:40,696.0,119,120
16:31:40,524.0,84,120
16:31:41,490.0,78,120
16:31:41,987.0,177,120
16:31:41,571.0,94,120
16:31:41,349.0,49,120
16:31:41,133.0,6,120
16:31:41,225.0,25,120
16:31:41,341.0,48,120
16:31:41,435.0,67,120
16:31:41,505.0,81,120
16:31:42,497.0,79,120
16:31:42,725.0,125,120
16:31:42,188.0,17,120
16:31:42,502.0,80,120
16:31:42,209.0,21,120
16:31:42,386.0,57,120
16:31:42,578.0,95,120
16:31:42,963.0,172,120
16:31:42,600.0,100,120
16:31:42,568.0,93,120
16:31:43,284.0,36,120
16:31:43,179.0,15,120
16:31:43,225.0,25,120
16:31:43,354.0,50,120
16:31:43,526.0,85,120
16:31:43,859.0,151,120
16:31:43,707.0,121,120
16:31:43,485.0,77,120
16:31:43,479.0,75,120
16:31:44,126.0,5,120
16:31:44,161.0,12,120
16:31:44,294.0,38,120
16:31:44,596.0,99,120
16:31:44,909.0,161,120
16:31:44,545.0,89,120
16:31:44,478.0,75,120
16:31:44,491.0,78,120
16:31:44,156.0,11,120
16:31:44,213.0,22,120
16:31:45,544.0,88,120
16:31:45,915.0,163,120
16:31:45,730.0,126,120
16:31:45,475.0,75,120
16:31:45,479.0,75,120
16:31:45,629.0,105,120
16:31:45,269.0,33,120
16:31:45,359.0,51,120
16:31:45,209.0,21,120
16:31:46,323.0,44,120
16:31:46,461.0,72,120
16:31:46,539.0,87,120
16:31:46,598.0,99,120
16:31:46,637.0,107,120
16:31:46,577.0,95,120
16:31:46,541.0,88,120
16:31:46,196.0,19,120
16:31:46,126.0,5,120
16:31:46,175.0,15,120
16:31:47,283.0,36,120
16:31:47,573.0,94,120
16:31:47,974.0,174,120
16:31:47,734.0,126,120
16:31:47,891.0,158,120
16:31:47,478.0,75,120
16:31:47,468.0,73,120
16:31:47,378.0,55,120
16:31:47,317.0,43,120
16:31:48,441.0,68,120
16:31:48,571.0,94,120
16:31:48,826.0,145,120
16:31:48,738.0,127,120
16:31:48,484.0,76,120
16:31:48,477.0,75,120
16:31:48,309.0,41,120
16:31:48,183.0,16,120
16:31:48,169.0,13,120
16:31:48,221.0,24,120
16:31:49,341.0,48,120
16:31:49,650.0,110,120
16:31:49,865.0,153,120
16:31:49,471.0,74,120
16:31:49,442.0,68,120
16:31:49,480.0,76,120
16:31:49,499.0,79,120
16:31:49,251.0,30,120
16:31:49,179.0,15,120
16:31:50,256.0,31,120
16:31:50,358.0,51,120
16:31:50,466.0,73,120
16:31:50,592.0,98,120
16:31:50,670.0,114,120
16:31:50,658.0,111,120
16:31:50,480.0,76,120
16:31:50,551.0,90,120
16:31:50,267.0,33,120
16:31:50,232.0,26,120
16:31:51,228.0,25,120
16:31:51,274.0,34,120
16:31:51,311.0,42,120
16:31:51,281.0,36,120
16:31:51,243.0,28,120
16:31:51,182.0,16,120
16:31:51,113.0,2,120
16:31:51,2172.0,180,120
16:31:51,1732.0,180,120
16:31:52,1803.0,180,120
16:31:52,1779.0,180,120
16:31:52,1660.0,180,120
16:31:52,1663.0,180,120
16:31:52,1685.0,180,120
16:31:52,1205.0,180,120
16:31:52,1094.0,180,120
16:31:52,1094.0,180,0
16:31:52,1094.0,180,0
16:31:52,368.0,53,0
16:31:52,391.0,58,0
16:31:53,432.0,66,0
16:31:53,436.0,67,0
16:31:53,454.0,70,0
16:31:53,478.0,75,0
16:31:53,478.0,75,0
16:31:53,476.0,75,0
16:31:53,459.0,71,0
16:31:53,468.0,73,0
16:31:53,480.0,76,0
