Time,Distance(mm),angleServo1,angleServo2
18:37:52,1384.0,180,0
18:37:52,1395.0,180,0
18:37:52,1392.0,180,0
18:37:52,1385.0,180,0
18:37:52,1400.0,180,0
18:37:52,1398.0,180,0
18:37:52,1385.0,180,0
18:37:52,1388.0,180,0
18:37:52,1385.0,180,0
18:37:52,1386.0,180,0
18:37:52,1404.0,180,0
18:37:52,1381.0,180,0
18:37:52,1384.0,180,0
18:37:52,1371.0,180,0
18:37:52,1383.0,180,0
18:37:52,1387.0,180,0
18:37:52,1398.0,180,0
18:37:52,1385.0,180,0
18:37:52,1383.0,180,0
18:37:52,1383.0,180,180
18:37:52,1383.0,180,180
18:37:52,290.0,48,180
18:37:52,309.0,53,180
18:37:52,429.0,84,180
18:37:52,1328.0,180,180
18:37:52,1328.0,180,180
18:37:52,1328.0,180,180
18:37:52,580.0,123,180
18:37:52,571.0,121,180
18:37:52,477.0,96,180
18:37:52,481.0,97,180
18:37:52,511.0,105,180
18:37:52,508.0,104,180
18:37:52,511.0,105,180
18:37:52,514.0,106,180
18:37:52,515.0,106,180
18:37:52,515.0,106,180
18:37:52,515.0,106,180
18:37:52,516.0,106,180
18:37:52,514.0,106,180
18:37:52,515.0,106,180
18:37:53,521.0,108,180
18:37:53,517.0,107,180
18:37:53,510.0,105,180
18:37:53,508.0,104,180
18:37:54,508.0,104,180
18:37:55,508.0,104,180
18:37:55,509.0,105,180
18:37:55,508.0,104,180
18:37:55,510.0,105,180
18:37:55,511.0,105,180
18:37:55,508.0,104,180
18:37:55,511.0,105,180
18:37:55,507.0,104,180
18:37:55,512.0,105,180
18:37:55,511.0,105,180
18:37:56,511.0,105,180
18:37:56,511.0,105,180
18:37:56,508.0,104,180
18:37:56,508.0,104,180
18:37:56,511.0,105,180
18:37:56,511.0,105,180
18:37:56,506.0,104,180
18:37:56,509.0,105,180
18:37:56,508.0,104,180
18:37:56,505.0,104,180
18:37:56,505.0,104,180
18:37:57,502.0,103,180
18:37:57,502.0,103,180
18:37:57,504.0,103,180
18:37:57,506.0,104,180
18:37:59,506.0,104,180
18:37:59,506.0,104,180
18:37:59,180.0,20,180
18:37:59,231.0,33,180
18:37:59,287.0,48,180
18:37:59,311.0,54,180
18:37:59,539.0,112,180
18:37:59,365.0,68,180
18:37:59,386.0,73,180
18:37:59,268.0,43,180
18:38:00,217.0,30,180
18:38:00,217.0,30,180
18:38:00,217.0,30,180
18:38:00,183.0,21,180
18:38:00,207.0,27,180
18:38:00,221.0,31,180
18:38:02,221.0,31,180
18:38:02,221.0,31,180
18:38:02,341.0,61,180
18:38:02,333.0,59,180
18:38:02,348.0,63,180
18:38:02,304.0,52,180
18:38:02,258.0,40,180
18:38:02,142.0,10,180
18:38:02,146.0,11,180
18:38:02,177.0,19,180
18:38:02,227.0,32,180
18:38:03,227.0,32,180
18:38:03,227.0,32,180
18:38:03,345.0,63,180
18:38:03,394.0,75,180
18:38:03,393.0,75,180
18:38:03,334.0,60,180
18:38:03,253.0,39,180
18:38:03,159.0,15,180
18:38:03,160.0,15,180
18:38:03,185.0,21,180
18:38:04,314.0,55,180
18:38:04,353.0,65,180
18:38:04,431.0,85,180
18:38:04,421.0,82,180
18:38:04,452.0,90,180
18:38:04,379.0,71,180
18:38:04,310.0,54,180
18:38:04,131.0,7,180
18:38:04,152.0,13,180
18:38:04,201.0,25,180
18:38:05,231.0,33,180
18:38:05,320.0,56,180
18:38:05,363.0,67,180
18:38:05,394.0,75,180
18:38:05,351.0,64,180
18:38:05,257.0,40,180
18:38:05,180.0,20,180
18:38:05,142.0,10,180
18:38:05,142.0,10,180
18:38:06,183.0,21,180
18:38:06,267.0,42,180
18:38:06,311.0,54,180
18:38:06,362.0,67,180
18:38:06,369.0,69,180
18:38:06,363.0,67,180
18:38:06,308.0,53,180
18:38:08,308.0,53,180
18:38:08,308.0,53,180
18:38:08,322.0,57,180
18:38:08,334.0,60,180
18:38:08,318.0,56,180
18:38:08,287.0,48,180
18:38:08,227.0,32,180
18:38:08,137.0,9,180
18:38:08,166.0,16,180
18:38:09,203.0,26,180
18:38:09,279.0,46,180
18:38:09,279.0,46,180
18:38:09,279.0,46,180
18:38:09,394.0,75,180
18:38:09,342.0,62,180
18:38:09,229.0,33,180
18:38:09,143.0,11,180
18:38:09,150.0,12,180
18:38:09,167.0,17,180
