Time,Distance(mm),angleServo1,angleServo2
18:54:47,75.0,0,0
18:54:47,82.0,0,0
18:54:47,80.0,0,0
18:54:47,78.0,0,0
18:54:47,74.0,0,0
18:54:47,75.0,0,0
18:54:47,81.0,0,0
18:54:47,81.0,0,0
18:54:47,78.0,0,0
18:54:47,81.0,0,0
18:54:47,76.0,0,0
18:54:47,73.0,0,0
18:54:47,78.0,0,0
18:54:47,78.0,0,0
18:54:47,81.0,0,0
18:54:47,78.0,0,0
18:54:47,92.0,0,0
18:54:47,94.0,0,0
18:54:47,97.0,0,0
18:54:47,97.0,0,0
18:54:47,97.0,0,0
18:54:47,86.0,0,0
18:54:47,73.0,0,0
18:54:47,99.0,0,0
18:54:47,99.0,0,120
18:54:47,99.0,0,120
18:54:47,115.0,3,120
18:54:47,112.0,2,120
18:54:47,111.0,2,120
18:54:47,106.0,1,120
18:54:47,103.0,0,120
18:54:47,103.0,0,120
18:54:47,109.0,1,120
18:54:47,108.0,1,120
18:54:47,115.0,3,120
18:54:47,115.0,3,120
18:54:47,111.0,2,120
18:54:47,116.0,3,120
18:54:47,115.0,3,120
18:54:47,115.0,3,120
18:54:47,113.0,2,120
18:54:47,112.0,2,120
18:54:47,107.0,1,120
18:54:47,109.0,1,120
18:54:48,120.0,4,120
18:54:48,117.0,3,120
18:54:48,125.0,5,120
18:54:48,121.0,4,120
18:54:48,127.0,5,120
18:54:48,132.0,6,120
18:54:48,391.0,58,120
18:54:48,77.0,0,120
18:54:48,79.0,0,120
18:54:48,82.0,0,120
18:54:48,82.0,0,120
18:54:48,80.0,0,120
18:54:48,82.0,0,120
18:54:48,82.0,0,0
18:54:48,82.0,0,0
18:54:48,128.0,5,0
18:54:48,109.0,1,0
18:54:48,616.0,103,0
18:54:48,73.0,0,0
18:54:48,81.0,0,0
18:54:48,76.0,0,0
18:54:48,76.0,0,0
18:54:48,72.0,0,0
18:54:48,83.0,0,0
18:54:48,76.0,0,0
18:54:48,77.0,0,0
18:54:48,79.0,0,0
18:54:48,80.0,0,0
18:54:48,76.0,0,0
18:54:48,84.0,0,0
18:54:48,82.0,0,0
18:54:48,80.0,0,0
18:54:48,77.0,0,0
18:54:48,81.0,0,0
18:54:48,78.0,0,0
18:54:48,76.0,0,0
18:54:48,74.0,0,0
18:54:48,74.0,0,0
18:54:48,70.0,0,0
18:54:48,71.0,0,0
18:54:48,58.0,0,0
18:54:48,49.0,0,0
18:54:48,0.0,0,0
18:54:48,1.0,0,0
18:54:48,67.0,0,0
18:54:48,20.0,0,0
18:54:48,19.0,0,0
18:54:49,6.0,0,0
18:54:49,1779.0,180,0
18:54:49,1779.0,180,120
18:54:49,1779.0,180,120
18:54:49,0.0,0,120
18:54:49,0.0,0,0
18:54:49,0.0,0,0
18:54:49,75.0,0,0
18:54:49,75.0,0,120
18:54:49,75.0,0,120
18:54:49,312.0,42,120
18:54:49,6.0,0,120
18:54:50,0.0,0,120
18:54:50,0.0,0,0
18:54:50,0.0,0,0
18:54:50,41.0,0,0
18:54:50,41.0,0,120
18:54:50,41.0,0,120
18:54:50,318.0,43,120
18:54:50,0.0,0,120
18:54:50,0.0,0,0
18:54:50,0.0,0,0
18:54:50,49.0,0,0
18:54:50,49.0,0,120
18:54:50,49.0,0,120
18:54:51,340.0,48,120
18:54:51,0.0,0,120
18:54:51,0.0,0,0
18:54:51,0.0,0,0
18:54:51,43.0,0,0
18:54:51,43.0,0,120
18:54:51,43.0,0,120
18:54:51,0.0,0,120
18:54:51,0.0,0,0
18:54:51,0.0,0,0
18:54:51,161.0,12,0
18:54:51,1408.0,180,0
18:54:51,1408.0,180,120
18:54:51,1408.0,180,120
18:54:52,255.0,31,120
18:54:52,52.0,0,120
18:54:52,52.0,0,0
18:54:52,52.0,0,0
18:54:52,25.0,0,0
18:54:52,25.0,0,120
18:54:52,25.0,0,120
18:54:52,196.0,19,120
18:54:52,162.0,12,120
18:54:52,15.0,0,120
18:54:52,15.0,0,0
18:54:52,15.0,0,0
18:54:53,261.0,32,0
18:54:53,108.0,1,0
18:54:53,291.0,38,0
18:54:53,60.0,0,0
18:54:53,60.0,0,120
18:54:53,60.0,0,120
18:54:53,0.0,0,120
18:54:53,0.0,0,0
18:54:53,0.0,0,0
18:54:53,21.0,0,0
18:54:53,21.0,0,120
18:54:53,21.0,0,120
18:54:53,109.0,1,120
18:54:54,149.0,9,120
18:54:54,41.0,0,120
18:54:54,41.0,0,0
18:54:54,41.0,0,0
18:54:54,136.0,7,0
18:54:54,170.0,14,0
18:54:54,0.0,0,0
18:54:54,0.0,0,120
18:54:54,0.0,0,120
18:54:54,300.0,40,120
18:54:54,0.0,0,120
18:54:55,0.0,0,0
18:54:55,0.0,0,0
18:54:55,11.0,0,0
18:54:55,1612.0,180,0
18:54:55,0.0,0,0
18:54:55,0.0,0,120
18:54:55,0.0,0,120
18:54:55,181.0,16,120
18:54:55,26.0,0,120
18:54:55,26.0,0,0
18:54:55,26.0,0,0
18:54:55,289.0,37,0
18:54:55,0.0,0,0
18:54:56,90.0,0,0
18:54:56,90.0,0,120
18:54:56,90.0,0,120
18:54:56,248.0,29,120
18:54:56,221.0,24,120
18:54:56,373.0,54,120
18:54:56,348.0,49,120
18:54:56,245.0,29,120
18:54:56,0.0,0,120
18:54:56,0.0,0,0
18:54:56,0.0,0,0
18:54:57,191.0,18,0
18:54:57,1514.0,180,0
18:54:57,1514.0,180,120
18:54:57,1514.0,180,120
18:54:57,1296.0,180,120
18:54:57,1296.0,180,0
18:54:57,1296.0,180,0
18:54:57,310.0,42,0
18:54:57,386.0,57,0
18:54:57,0.0,0,0
18:54:57,0.0,0,120
18:54:57,0.0,0,120
18:54:57,0.0,0,120
18:54:58,0.0,0,0
18:54:58,0.0,0,0
18:54:58,325.0,45,0
18:54:58,123.0,4,0
18:54:58,730.0,126,0
18:54:58,90.0,0,0
18:54:58,90.0,0,120
18:54:58,90.0,0,120
18:54:58,281.0,36,120
18:54:58,135.0,7,120
18:54:58,661.0,112,120
18:54:59,90.0,0,120
18:54:59,90.0,0,0
18:54:59,90.0,0,0
18:54:59,159.0,11,0
18:54:59,653.0,110,0
18:54:59,0.0,0,0
18:54:59,0.0,0,120
18:54:59,0.0,0,120
18:54:59,268.0,33,120
18:54:59,60.0,0,120
18:54:59,19.0,0,120
18:54:59,19.0,0,120
18:55:00,30.0,0,120
18:55:00,39.0,0,120
18:55:00,67.0,0,120
18:55:00,17.0,0,120
18:55:00,17.0,0,0
18:55:00,17.0,0,0
18:55:00,73.0,0,0
18:55:00,73.0,0,120
18:55:00,73.0,0,120
18:55:00,293.0,38,120
18:55:00,34.0,0,120
18:55:01,0.0,0,120
18:55:01,29.0,0,120
18:55:01,24.0,0,120
18:55:01,23.0,0,120
18:55:01,18.0,0,120
18:55:01,18.0,0,0
18:55:01,18.0,0,0
18:55:01,38.0,0,0
