Time,Distance(mm),angleServo1,angleServo2
18:45:10,379.0,55,0
18:45:10,0.0,0,0
18:45:10,6.0,0,0
18:45:10,75.0,0,0
18:45:10,1962.0,180,0
18:45:10,1962.0,180,120
18:45:10,1962.0,180,120
18:45:10,299.0,39,120
18:45:10,321.0,44,120
18:45:10,21.0,0,120
18:45:10,21.0,0,0
18:45:10,21.0,0,0
18:45:10,0.0,0,0
18:45:10,0.0,0,120
18:45:10,0.0,0,120
18:45:10,350.0,50,120
18:45:10,360.0,52,120
18:45:10,369.0,53,120
18:45:10,71.0,0,120
18:45:10,0.0,0,120
18:45:10,0.0,0,0
18:45:10,0.0,0,0
18:45:10,348.0,49,0
18:45:10,0.0,0,0
18:45:10,0.0,0,0
18:45:10,47.0,0,0
18:45:10,47.0,0,120
18:45:10,47.0,0,120
18:45:10,0.0,0,120
18:45:10,0.0,0,0
18:45:10,0.0,0,0
18:45:10,356.0,51,0
18:45:10,360.0,52,0
18:45:10,77.0,0,0
18:45:10,0.0,0,0
18:45:10,0.0,0,120
18:45:10,0.0,0,120
18:45:10,0.0,0,120
18:45:10,1964.0,180,120
18:45:10,1964.0,180,0
18:45:10,1964.0,180,0
18:45:10,172.0,14,0
18:45:10,128.0,5,0
18:45:10,438.0,67,0
18:45:10,375.0,55,0
18:45:10,370.0,54,0
18:45:10,368.0,53,0
18:45:10,371.0,54,0
18:45:10,46.0,0,0
18:45:10,46.0,0,120
18:45:11,46.0,0,120
18:45:11,410.0,62,120
18:45:11,0.0,0,120
18:45:11,0.0,0,120
18:45:11,8.0,0,120
18:45:11,20.0,0,120
18:45:11,1824.0,180,120
18:45:11,1824.0,180,0
18:45:11,1824.0,180,0
18:45:11,137.0,7,0
18:45:11,63.0,0,0
18:45:11,20.0,0,0
18:45:11,24.0,0,0
18:45:11,0.0,0,0
18:45:11,0.0,0,120
18:45:11,0.0,0,120
18:45:11,391.0,58,120
18:45:11,373.0,54,120
18:45:11,0.0,0,120
18:45:11,0.0,0,0
18:45:11,0.0,0,0
18:45:11,1.0,0,0
18:45:11,2190.0,180,0
18:45:11,2190.0,180,120
18:45:11,2190.0,180,120
18:45:11,296.0,39,120
18:45:11,0.0,0,120
18:45:11,0.0,0,0
18:45:11,0.0,0,0
18:45:11,368.0,53,0
18:45:11,0.0,0,0
18:45:12,0.0,0,120
18:45:12,0.0,0,120
18:45:12,133.0,6,120
